Initial cumulative execution times of all Virtual Machines
ID: 1 | Cumulative Execution Time: 0
ID: 2 | Cumulative Execution Time: 0
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #1 for scheduling task # 1
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 0
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #2 for scheduling task # 2
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 0
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #3 for scheduling task # 3
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 0
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #4 for scheduling task # 4
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 0
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #5 for scheduling task # 5
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 409.812134
ID: 6 | Cumulative Execution Time: 0
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #6 for scheduling task # 6
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 409.812134
ID: 6 | Cumulative Execution Time: 50406.136719
ID: 7 | Cumulative Execution Time: 0
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #7 for scheduling task # 7
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 409.812134
ID: 6 | Cumulative Execution Time: 50406.136719
ID: 7 | Cumulative Execution Time: 6960.294434
ID: 8 | Cumulative Execution Time: 0
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #8 for scheduling task # 8
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 409.812134
ID: 6 | Cumulative Execution Time: 50406.136719
ID: 7 | Cumulative Execution Time: 6960.294434
ID: 8 | Cumulative Execution Time: 27125.736328
ID: 9 | Cumulative Execution Time: 0
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
ID: 13 | Cumulative Execution Time: 0
ID: 14 | Cumulative Execution Time: 0
ID: 15 | Cumulative Execution Time: 0
ID: 16 | Cumulative Execution Time: 0
Selecting Virtual Machine #9 for scheduling task # 9
ID: 1 | Cumulative Execution Time: 12.585024
ID: 2 | Cumulative Execution Time: 3920.866943
ID: 3 | Cumulative Execution Time: 11872.774414
ID: 4 | Cumulative Execution Time: 14351.212891
ID: 5 | Cumulative Execution Time: 409.812134
ID: 6 | Cumulative Execution Time: 50406.136719
ID: 7 | Cumulative Execution Time: 6960.294434
ID: 8 | Cumulative Execution Time: 27125.736328
ID: 9 | Cumulative Execution Time: 46041.046875
ID: 10 | Cumulative Execution Time: 0
ID: 11 | Cumulative Execution Time: 0
ID: 12 | Cumulative Execution Time: 0
